frame,move_nose,move_body,bp_sum,bp_mean,bp_min,bp_max,roll2s_mean,roll2s_sum,roll5s_mean,roll5s_sum,roll6s_mean,roll6s_sum,roll7_5s_mean,roll7_5s_sum,roll15s_mean,roll15s_sum,prob_sum,prob_mean,low_prob_01,low_prob_05,low_prob_075,rule_label
68,2.6873,0.3381,1.7463,0.2179,0.1372,0.8269,2.7718,1.1642,2.2386,0.0662,0.402,2.9024,2.4309,2.8873,0.2558,1.9863,1.7848,2.9419,1.9002,0.9151,1.0703,0
69,0.0808,0.8469,0.9045,0.7287,1.8865,2.8313,1.4783,2.114,2.1101,2.4622,0.3388,0.6161,1.9202,2.24,2.8487,0.0164,2.5603,0.1597,1.2888,1.5672,0.9028,0
70,2.4154,2.5412,0.3817,1.4901,2.6863,1.9913,1.2522,1.8951,0.4743,2.3612,2.3039,0.1,0.2387,0.5722,0.4272,0.3005,1.7841,1.6891,2.6856,1.2794,1.5282,0
71,0.5705,2.916,1.027,0.1385,1.8033,2.6606,2.7587,1.3858,1.52,0.3454,0.8297,0.9537,0.3055,0.2836,2.1806,1.4528,1.8011,2.3669,1.9621,0.2664,0.9576,0
72,0.2787,1.1195,0.5569,0.4298,1.8082,1.9524,2.8964,1.8592,1.4744,1.878,2.6856,1.4243,2.3167,2.6556,2.3166,0.3916,1.4884,0.8627,1.4281,2.0708,1.1321,0
73,0.0539,2.6124,2.7917,1.7249,2.7112,2.1971,2.6187,0.925,2.7772,2.5765,0.0312,0.2099,0.161,2.5538,2.1573,0.371,0.6518,1.1158,1.7917,2.2763,1.918,0
74,0.8789,2.6211,0.6629,1.1985,0.989,1.3834,0.6106,1.2959,2.0099,1.5384,0.9615,2.0474,0.4695,0.2271,0.5661,2.5403,1.3628,0.716,0.2374,2.1085,1.6916,0
75,2.1813,0.6543,1.1822,2.7111,1.6703,1.2741,2.7254,2.0276,0.9051,2.2583,0.9055,1.4172,0.1855,2.5203,2.4624,2.1971,2.0114,0.5208,1.105,1.8594,1.5197,0
76,1.4795,0.8214,1.6256,1.7113,2.4287,2.3441,1.94,0.0654,0.7776,0.3689,1.2092,2.4868,0.5776,1.826,0.8752,2.2973,0.0161,0.9486,2.3133,2.2873,0.0724,0
77,2.5588,2.0881,0.7569,2.2713,0.5828,0.5476,1.5671,1.2246,0.3212,0.1788,1.7383,0.7316,1.8586,2.3385,2.6261,0.2783,0.3748,2.1271,0.1526,1.5451,1.673,0
78,0.6516,0.918,1.4847,1.0376,2.1096,0.1974,0.394,1.1462,1.4965,0.7065,1.5123,0.1431,0.9102,2.1772,0.1701,1.5749,2.4963,0.646,1.975,1.6472,1.1954,0
79,0.9455,2.8659,1.6582,1.1312,0.2312,2.7334,0.487,0.9694,1.8827,2.3007,1.0425,1.6568,0.0768,0.9581,0.1807,0.0374,0.7714,2.5134,0.5503,0.4333,0.7805,0
80,0.7744,1.0952,0.1473,2.5604,1.1089,1.1502,2.5983,1.5032,1.1972,0.867,1.0196,2.9936,1.9579,2.5702,0.2985,2.5681,1.1407,0.5843,2.034,0.0406,2.3674,0
81,2.9349,2.1906,2.8423,1.8459,0.5548,1.6771,0.8663,2.0674,2.816,2.5327,2.129,0.1117,1.7538,0.1277,0.5722,1.7112,0.352,1.2809,2.9086,2.0155,2.091,0
82,2.823,2.1219,1.6139,2.7434,1.2974,1.1843,1.422,2.2168,2.2567,0.2008,0.9489,2.2328,1.6349,2.8066,2.7614,1.3728,0.4239,2.8025,1.2573,0.9213,2.7514,0
83,1.0221,0.6409,0.4382,0.7572,0.613,2.2327,1.2834,2.3115,1.6491,1.4468,2.0868,1.3234,1.8033,0.1567,0.8238,0.9277,1.6939,2.3538,2.6254,0.2407,0.2539,0
84,1.308,2.5979,2.9473,0.3438,0.184,2.3305,1.156,1.8605,1.1879,1.3091,1.5082,2.1255,1.9044,1.9945,0.0316,1.8574,1.6005,2.7285,2.7585,1.0418,1.1473,0
85,0.943,0.9862,0.5047,2.0317,1.3335,0.5504,1.2766,0.0465,1.9706,2.4342,0.7163,1.0672,0.5825,1.4086,1.6772,0.2535,1.2429,0.1517,0.4579,1.9525,2.251,0
86,2.2395,0.3302,2.1824,0.3753,1.1711,2.3172,0.8405,0.7404,2.0735,2.0103,2.2629,2.5004,0.0431,1.9082,1.5668,2.2945,1.8079,0.945,0.4897,2.6869,0.5219,0
87,0.12,0.1505,1.4473,0.2279,2.202,0.9527,2.6989,2.0037,2.2066,2.2293,1.6179,1.6746,1.182,2.7913,0.6874,2.7957,0.4119,0.6879,0.2025,2.2612,0.6061,0
88,0.2023,1.3555,0.7727,1.1713,0.0422,1.708,1.5434,0.3521,0.9419,1.8216,1.9088,0.9657,0.0493,2.178,2.1514,2.3349,1.6741,2.456,2.6325,2.4281,0.9386,0
89,1.2121,1.899,1.1389,2.0595,1.907,1.4497,0.8811,1.74,1.2092,0.4741,0.2293,0.9998,1.2507,1.4924,1.258,0.0129,0.317,0.1437,0.65,0.8814,0.1104,0
90,0.7353,0.8141,1.4436,1.0811,0.1331,2.5385,0.6373,0.046,0.7062,2.2822,1.3778,1.9557,2.4807,2.0623,0.0026,2.4322,0.6745,0.8277,1.5763,0.6323,2.0566,0
91,2.5357,2.5257,1.1128,2.2592,1.4571,1.2532,2.4044,2.5169,0.4136,2.1592,1.5396,0.8506,0.3248,1.105,1.0709,2.772,1.0774,2.4957,0.8177,0.0358,2.3688,0
92,2.2254,0.8025,0.7411,1.3659,0.0607,2.4763,2.3675,0.5013,0.9276,2.1938,1.2362,0.9457,2.0513,0.428,1.1496,2.919,0.7715,1.1101,2.8693,2.878,0.4668,0
93,1.6374,2.5425,1.2482,0.8547,2.7328,2.8231,2.4639,1.3041,0.7798,1.3793,1.1174,2.8154,1.8271,0.4082,0.8169,0.0849,1.0161,0.8893,0.1057,2.9416,0.3349,0
94,1.9844,0.0992,1.3074,1.6028,1.463,1.7251,1.7865,0.3623,0.851,1.2712,0.3989,0.6659,2.5407,0.8042,0.4986,0.5099,1.4218,0.9691,2.5372,1.0683,1.9493,0
95,2.0768,0.788,2.0633,1.8135,1.4315,2.4475,0.991,0.5298,1.4378,0.4422,1.4904,2.0661,1.5761,2.7042,1.4167,1.2931,1.9626,1.1179,1.4209,1.0413,2.748,0
96,2.3432,0.4784,0.5927,0.4498,0.213,2.6614,0.6356,1.413,1.1512,2.446,2.3309,0.4773,2.056,1.3057,2.6544,0.9447,0.3619,2.0156,2.3095,2.0324,2.9057,0
97,2.7825,1.3431,0.1364,1.7747,2.3601,0.6856,1.1191,1.5645,2.1974,1.3054,1.7495,0.5921,2.2905,2.068,0.5807,0.5967,1.8492,1.051,1.5524,2.5746,1.7031,0
98,0.4492,1.0525,2.5013,0.5055,0.7988,1.354,0.2691,2.5909,0.7729,2.8634,0.9274,2.0742,1.8372,1.0139,2.6887,2.0506,1.0185,1.1062,0.8086,0.0549,1.6489,0
99,1.8784,1.1843,0.2079,2.9045,1.4108,2.7041,0.8267,0.6225,2.1456,0.815,0.5786,1.1402,0.622,2.4849,0.2444,0.7569,0.7103,2.3987,2.4132,1.6636,2.9915,0
100,0.4309,2.5546,1.8943,1.5946,2.166,2.2822,1.0426,2.6462,2.6697,1.4507,1.1192,1.3594,2.7944,1.8948,1.8517,1.3565,0.3713,1.4399,0.7055,2.57,0.193,0
101,1.3294,1.7387,1.6469,0.6163,2.3743,2.5404,0.3471,0.7112,1.4994,1.0548,0.9442,0.6915,1.4282,0.7506,0.3495,2.1249,1.4167,2.6041,0.221,1.3447,1.1646,0
102,2.3589,1.8163,2.9251,0.1276,1.1584,1.8069,0.4558,1.182,2.419,1.8224,0.5704,2.7474,0.6574,0.159,1.8876,2.3507,0.0513,0.9331,0.8553,2.6266,2.082,0
103,2.6841,1.1701,0.5698,0.6436,0.1821,1.138,0.3592,2.8772,0.2326,2.9011,1.2312,2.1527,2.543,2.3247,0.8723,2.8761,0.5701,0.5178,1.1039,1.6216,2.6143,0
104,2.2777,2.4241,2.663,0.9549,2.9578,2.3604,1.1669,1.5422,0.785,0.6671,1.0715,0.7432,1.8852,0.5359,2.0995,0.2235,1.0016,2.4227,0.1811,1.2515,2.1062,0
105,0.1062,1.5053,0.3909,1.7204,0.7655,1.0358,2.7798,0.7637,0.2603,1.1554,1.5974,1.0775,1.1224,2.2853,2.5133,0.9012,2.9466,1.0402,1.1673,1.8312,1.4781,0
106,1.0782,2.238,0.5145,1.9906,0.1261,1.7461,2.877,1.3589,1.4802,0.886,2.4914,0.8038,2.2191,0.4259,0.8298,2.5881,1.3398,0.9722,0.0266,2.5701,1.4345,0
107,0.4892,2.7426,1.9614,2.1348,1.8598,0.6321,0.3101,2.4675,1.1375,0.2835,1.0724,2.3709,1.4091,2.4258,2.4753,0.5168,1.4037,0.4073,2.8681,1.5473,2.7299,0
108,2.9964,1.836,0.497,1.3233,2.6204,1.2023,1.7858,2.6116,1.4481,0.1084,2.0219,1.8597,1.9717,2.0915,0.7032,2.3858,2.6344,2.6181,0.9242,1.2168,2.2451,0
109,0.432,1.3055,1.7595,1.8906,0.2636,1.346,0.0162,0.3384,0.6924,2.978,0.5113,0.9689,2.6251,0.5426,1.3604,0.9631,1.6679,2.8242,1.3994,0.5823,0.6148,0
110,0.7329,0.7909,2.025,1.6607,0.1374,0.3415,1.9995,1.5466,0.1044,0.9911,0.7137,1.6143,0.0577,1.3461,0.2427,2.6783,1.9309,1.6579,2.3979,2.0791,2.7818,0
111,1.0717,2.736,0.3763,0.8894,2.0313,0.305,1.878,1.126,2.2786,2.1209,2.5807,2.3208,2.2568,1.9677,1.3086,1.3761,1.0682,0.1268,2.5633,1.215,2.4434,0
112,0.1827,2.2947,2.3705,0.657,1.7178,2.6568,1.5391,0.2499,2.8138,2.3491,2.236,0.735,2.7569,0.5445,2.8265,2.6865,0.352,0.4381,0.1668,0.9432,1.8725,0
113,2.6112,2.3986,1.2693,1.1978,0.777,2.9577,0.8344,1.3183,0.5732,1.9227,2.1421,1.1801,2.4805,0.5951,0.4893,2.1157,0.6251,2.8863,1.1041,0.6809,2.4143,0
114,1.9091,0.6642,2.9012,2.0689,0.795,0.4854,1.3951,0.8847,2.2154,0.7953,2.4614,1.2183,2.9948,0.5416,1.4569,0.1933,0.2253,1.2914,2.6688,0.6702,2.1884,0
115,0.4792,1.3101,0.0343,0.4035,2.302,1.0982,0.1165,2.2155,1.0537,2.0122,2.679,1.6701,1.2789,0.1973,0.1882,0.9964,1.6286,1.5464,2.3359,1.0455,1.0301,0
116,1.4948,2.6508,0.2358,1.9079,0.063,2.0223,1.9656,0.0488,2.2246,2.7625,2.8127,0.1326,0.7183,2.8646,2.1796,0.8742,0.2674,1.5589,2.7481,2.2124,2.1156,0
117,0.236,0.738,1.8604,0.0622,0.7218,0.4293,2.3341,1.3579,1.8047,1.373,2.18,0.9937,1.0745,0.6579,0.7022,1.5088,1.3346,1.9806,0.1044,2.3986,1.1474,0
118,1.8329,2.4417,0.7716,0.5511,1.0876,0.2002,0.2567,1.0334,2.2668,2.675,2.7876,0.6235,0.1034,1.6462,2.2806,1.5838,0.7813,1.4672,0.3219,0.4877,0.0935,0
119,0.695,1.6159,1.2081,2.0094,2.3228,2.7184,2.9971,1.2626,2.9706,2.5836,0.8059,0.4116,1.9511,0.5373,1.895,0.8101,0.0052,2.8921,2.6112,2.3578,1.1578,0
120,0.1159,0.6563,2.7266,2.4243,0.9426,0.8463,0.532,1.3002,0.8461,2.3148,1.4321,1.0353,0.394,0.8152,2.8893,1.7396,2.0594,2.1002,2.43,2.0264,1.627,3
121,0.3457,1.1264,1.0315,2.3016,0.163,2.8678,2.7468,2.9362,2.6385,2.0887,0.569,0.6935,2.5869,2.6643,0.6324,0.3858,0.0845,0.8449,1.0255,0.9245,2.2984,3
122,1.6658,0.2287,0.1537,2.0505,2.2301,1.5616,2.9365,2.0566,0.6165,2.8773,0.3167,1.9793,2.9809,0.5675,2.1258,2.687,1.6498,2.3211,0.0517,0.9182,1.5893,3
123,1.9109,2.0192,0.4291,0.7623,2.0645,1.7612,1.2721,1.1529,2.3852,1.5037,1.1885,0.3105,1.2784,0.2164,1.8366,2.1633,1.2661,1.0,0.9864,2.8555,0.3539,3
124,0.9744,2.1808,1.6667,2.9635,0.3821,1.6203,2.5225,1.0116,0.4736,2.7587,1.0182,2.4878,2.2482,2.52,0.2366,0.8179,2.5654,0.1056,1.8151,1.6223,1.1372,3
125,1.9304,0.0869,2.3243,1.8029,2.184,1.5217,1.6852,1.3108,0.6017,0.2641,1.8938,2.604,0.847,1.5288,1.5632,0.4692,1.1825,1.6065,0.5986,2.6191,2.3554,3
126,1.0562,0.9042,2.2733,2.7304,1.8697,0.8053,0.8176,2.8018,1.2901,2.1271,1.2208,2.8498,2.9769,1.3388,2.8908,2.0271,0.4223,1.6766,0.8066,1.4479,1.043,3
127,0.392,2.3063,1.4146,2.8094,1.1036,1.8793,2.061,1.7902,0.6218,0.3565,0.4672,0.3341,2.7633,2.8139,2.5097,1.4199,1.2115,2.9763,1.5678,0.1448,2.0585,3
