clip_id,label,labels,annotator
TR_22_cam1_1634,object_interaction,object_interaction;walking,heittor
TT_15_cam1_8101,walking,walking,heittor
TR_19_cam1_4680,object_interaction,object_interaction,heittor
TR_32_cam1_1689,object_interaction,object_interaction,heittor
TT_10_cam3_6423,object_interaction,object_interaction,heittor
TR_21_cam3_1123,object_interaction,walking;object_interaction,heittor
TT_26_cam2_301,sniffing,still;sniffing,heittor
TT_31_cam3_3098,object_interaction,object_interaction,heittor
TT_24_cam3_589,object_interaction,object_interaction,heittor
TR_33_cam2_222,object_interaction,object_interaction,heittor
TR_22_cam1_5174,object_interaction,object_interaction,heittor
TT_10_cam3_3947,object_interaction,object_interaction,heittor
TT_26_cam2_6540,still,still,heittor
TT_25_cam1_7576,still,still,heittor
TR_34_cam3_1175,rearing,rearing,heittor
TT_11_cam1_5742,grooming,grooming,heittor
TT_9_cam2_5687,still,still,heittor
TR_19_cam1_3040,walking,walking,heittor
TT_25_cam1_8392,still,still,heittor
TT_28_cam1_8212,grooming,grooming,heittor
TT_13_cam3_2988,grooming,grooming,heittor
TR_21_cam3_2760,object_interaction,object_interaction,heittor
TT_29_cam2_4364,grooming,grooming,heittor
TT_21_cam3_4317,sniffing,sniffing,heittor
TT_15_cam1_7242,object_interaction,object_interaction,heittor
TT_11_cam1_8655,object_interaction,object_interaction,heittor
TR_19_cam1_424,object_interaction,object_interaction,heittor
TR_23_cam2_6906,walking,walking,heittor
TR_33_cam2_5169,object_interaction,object_interaction,heittor
TR_26_cam2_8530,object_interaction,object_interaction,heittor
TT_31_cam3_2028,grooming,grooming,heittor
TT_11_cam1_6671,walking,walking,heittor
TT_13_cam3_2877,grooming,grooming,heittor
TT_21_cam3_7940,walking,walking,heittor
TR_27_cam3_3903,object_interaction,object_interaction,heittor
TR_22_cam1_3582,object_interaction,object_interaction,heittor
TT_31_cam3_246,grooming,grooming,heittor
TR_34_cam3_5151,still,still,heittor
TT_21_cam3_8829,walking,walking,heittor
TR_33_cam2_2286,grooming,grooming,heittor
TT_32_cam1_7084,walking,walking,heittor
TT_24_cam3_8793,still,still,heittor
TT_22_cam1_3042,object_interaction,object_interaction,heittor
TT_19_cam1_8949,still,still,heittor
TT_6_cam2_1429,object_interaction,object_interaction,heittor
TT_19_cam1_1446,still,still,heittor
TR_34_cam3_3052,sniffing,sniffing,heittor
TT_32_cam1_2738,walking,walking,heittor
TR_19_cam1_4949,object_interaction,object_interaction,heittor
TT_1_cam1_7266,still,still,heittor
TR_25_cam1_7082,object_interaction,object_interaction,heittor
TT_21_cam3_1439,object_interaction,object_interaction,heittor
TT_11_cam1_5520,grooming,grooming,heittor
TT_22_cam1_5375,walking,walking,heittor
TR_34_cam3_7170,still,still,heittor
TR_22_cam1_2527,object_interaction,object_interaction,heittor
TT_11_cam1_4691,rearing,rearing,heittor
TT_33_cam2_8160,grooming,sniffing;grooming,heittor
TT_24_cam3_3679,still,still,heittor
TT_15_cam1_318,object_interaction,object_interaction,heittor
TT_19_cam1_5448,still,still,heittor
TT_22_cam1_5776,grooming,grooming,heittor
TT_29_cam2_7889,object_interaction,object_interaction,heittor
TT_27_cam3_6328,still,still,heittor
TR_34_cam3_6144,still,still,heittor
TT_21_cam3_8613,walking,walking,heittor
TR_24_cam3_5091,rearing,rearing,heittor
TT_24_cam3_6075,still,still,heittor
TT_28_cam1_687,object_interaction,walking;object_interaction,heittor
TR_23_cam2_7851,rearing,rearing,heittor
TR_33_cam2_1448,object_interaction,object_interaction;walking;rearing,heittor
TT_12_cam2_2287,object_interaction,object_interaction,heittor
TT_19_cam1_6692,still,still,heittor
TT_20_cam2_235,object_interaction,object_interaction,heittor
TT_26_cam2_2412,still,still,heittor
TT_24_cam3_5325,still,still,heittor
TT_29_cam2_6817,object_interaction,sniffing;object_interaction,heittor
