session_id,animal_id,field,behavior,start_frame,end_frame,annotator
TR_27_cam3,27,0,grooming,1031,1066,heittor
TR_27_cam3,27,0,rearing,1112,1147,heittor
TR_27_cam3,27,0,rearing,1243,1287,heittor
TR_27_cam3,27,0,sniffing,1375,1412,heittor
TR_27_cam3,27,0,sniffing,1464,1521,heittor
TR_27_cam3,27,0,grooming,1728,2056,heittor
TR_27_cam3,27,0,rearing,2149,2206,heittor
TR_27_cam3,27,0,rearing,2205,2215,heittor
TR_27_cam3,27,0,grooming,2311,2406,heittor
TR_27_cam3,27,0,sniffing,2436,2456,heittor
TR_27_cam3,27,0,grooming,2583,2624,heittor
TR_27_cam3,27,0,sniffing,2727,2756,heittor
TR_27_cam3,27,0,rearing,3229,3273,heittor
TR_27_cam3,27,0,grooming,3375,3429,heittor
TR_27_cam3,27,0,rearing,3611,3639,heittor
TR_27_cam3,27,0,object_interaction,3806,4115,heittor
TR_27_cam3,27,0,object_interaction,4315,4322,heittor
TR_27_cam3,27,0,object_interaction,5102,5171,heittor
TR_27_cam3,27,0,grooming,5261,5400,heittor
TR_27_cam3,27,0,rearing,5840,5912,heittor
TR_27_cam3,27,0,object_interaction,6236,6363,heittor
TR_27_cam3,27,0,grooming,6777,7262,heittor
TR_27_cam3,27,0,object_interaction,8068,8174,heittor
TR_27_cam3,27,0,object_interaction,8545,8594,heittor
TT_15_cam1,15,0,rearing,189,221,heittor
TT_15_cam1,15,0,object_interaction,287,512,heittor
TT_15_cam1,15,0,object_interaction,565,586,heittor
TT_15_cam1,15,0,object_interaction,604,660,heittor
TT_15_cam1,15,0,object_interaction,808,865,heittor
TT_15_cam1,15,0,grooming,904,924,heittor
TT_15_cam1,15,0,rearing,974,1008,heittor
TT_15_cam1,15,0,rearing,1021,1056,heittor
TT_15_cam1,15,0,object_interaction,1058,1187,heittor
TT_15_cam1,15,0,object_interaction,1227,1458,heittor
TT_15_cam1,15,0,object_interaction,1495,2054,heittor
TT_15_cam1,15,0,rearing,2097,2133,heittor
TT_15_cam1,15,0,object_interaction,2211,2227,heittor
TT_15_cam1,15,0,object_interaction,2370,2399,heittor
TT_15_cam1,15,0,grooming,2495,2725,heittor
TT_15_cam1,15,0,rearing,2737,2873,heittor
TT_15_cam1,15,0,object_interaction,2893,2928,heittor
TT_15_cam1,15,0,object_interaction,2964,3206,heittor
TT_15_cam1,15,0,rearing,3049,3110,heittor
TT_15_cam1,15,0,rearing,3251,3350,heittor
TT_15_cam1,15,0,object_interaction,3431,3504,heittor
TT_15_cam1,15,0,object_interaction,3558,3568,heittor
TT_15_cam1,15,0,grooming,3615,3760,heittor
TT_15_cam1,15,0,object_interaction,3867,3907,heittor
TT_15_cam1,15,0,object_interaction,3924,4013,heittor
TT_15_cam1,15,0,object_interaction,4227,4331,heittor
TT_15_cam1,15,0,object_interaction,4446,4510,heittor
TT_15_cam1,15,0,rearing,4552,4590,heittor
TT_15_cam1,15,0,object_interaction,4638,4697,heittor
TT_15_cam1,15,0,rearing,4716,4759,heittor
TT_15_cam1,15,0,rearing,4759,4806,heittor
TT_15_cam1,15,0,object_interaction,4806,4914,heittor
TT_15_cam1,15,0,rearing,4814,4867,heittor
TT_15_cam1,15,0,object_interaction,5123,5173,heittor
TT_15_cam1,15,0,grooming,5287,5360,heittor
TT_15_cam1,15,0,object_interaction,5364,5418,heittor
TT_15_cam1,15,0,grooming,5464,6024,heittor
TT_15_cam1,15,0,rearing,6034,6078,heittor
TT_15_cam1,15,0,grooming,6239,6692,heittor
TT_15_cam1,15,0,grooming,6791,7032,heittor
TT_15_cam1,15,0,rearing,7053,7094,heittor
TT_15_cam1,15,0,object_interaction,7159,7299,heittor
TT_15_cam1,15,0,object_interaction,7337,7371,heittor
TT_15_cam1,15,0,object_interaction,7392,7531,heittor
TT_15_cam1,15,0,object_interaction,7569,7645,heittor
TT_15_cam1,15,0,object_interaction,7808,7867,heittor
TT_15_cam1,15,0,object_interaction,8042,8077,heittor
TT_15_cam1,15,0,grooming,8165,8218,heittor
TT_15_cam1,15,0,rearing,8226,8289,heittor
TT_15_cam1,15,0,object_interaction,8289,8801,heittor
TT_15_cam1,15,0,object_interaction,8845,8873,heittor
TT_15_cam1,15,0,object_interaction,8916,9142,heittor
TT_15_cam1,15,0,rearing,9021,9054,heittor
TT_15_cam1,15,0,rearing,9065,9114,heittor
TT_9_cam2,9,0,object_interaction,142,167,heittor
TT_9_cam2,9,0,object_interaction,180,187,heittor
TT_9_cam2,9,0,object_interaction,263,280,heittor
TT_9_cam2,9,0,grooming,319,343,heittor
TT_9_cam2,9,0,object_interaction,398,420,heittor
TT_9_cam2,9,0,rearing,443,547,heittor
TT_9_cam2,9,0,object_interaction,570,588,heittor
TT_9_cam2,9,0,rearing,611,674,heittor
TT_9_cam2,9,0,grooming,671,785,heittor
TT_9_cam2,9,0,object_interaction,785,1009,heittor
TT_9_cam2,9,0,object_interaction,1027,1378,heittor
TT_9_cam2,9,0,rearing,1415,1438,heittor
TT_9_cam2,9,0,grooming,1439,1552,heittor
TT_9_cam2,9,0,object_interaction,1583,1606,heittor
TT_9_cam2,9,0,object_interaction,1626,1791,heittor
TT_9_cam2,9,0,object_interaction,1817,1912,heittor
TT_9_cam2,9,0,grooming,2043,2165,heittor
TT_9_cam2,9,0,rearing,2177,2287,heittor
TT_9_cam2,9,0,grooming,2307,2409,heittor
TT_9_cam2,9,0,rearing,2533,2596,heittor
TT_9_cam2,9,0,object_interaction,2637,2768,heittor
TT_9_cam2,9,0,object_interaction,2791,2855,heittor
TT_9_cam2,9,0,rearing,2874,2904,heittor
TT_9_cam2,9,0,grooming,2967,3513,heittor
TT_9_cam2,9,0,rearing,3636,3790,heittor
TT_9_cam2,9,0,object_interaction,3809,3966,heittor
TT_9_cam2,9,0,rearing,3995,4046,heittor
TT_9_cam2,9,0,object_interaction,4046,4119,heittor
TT_9_cam2,9,0,object_interaction,4178,4327,heittor
TT_9_cam2,9,0,object_interaction,4345,4517,heittor
TT_9_cam2,9,0,rearing,4635,4701,heittor
TT_9_cam2,9,0,object_interaction,4743,4850,heittor
TT_9_cam2,9,0,rearing,4947,5002,heittor
TT_9_cam2,9,0,object_interaction,5055,5210,heittor
TT_9_cam2,9,0,object_interaction,5270,5388,heittor
TT_9_cam2,9,0,grooming,5408,5432,heittor
TT_9_cam2,9,0,object_interaction,5447,5506,heittor
TT_9_cam2,9,0,rearing,5516,5571,heittor
TT_9_cam2,9,0,rearing,5946,5996,heittor
TT_9_cam2,9,0,object_interaction,6016,6084,heittor
TT_9_cam2,9,0,object_interaction,6125,6158,heittor
TT_9_cam2,9,0,rearing,6250,6356,heittor
TT_9_cam2,9,0,grooming,6510,6916,heittor
TT_9_cam2,9,0,grooming,6957,7889,heittor
TT_9_cam2,9,0,object_interaction,7977,8138,heittor
TT_9_cam2,9,0,object_interaction,8184,8311,heittor
TT_9_cam2,9,0,object_interaction,8331,8971,heittor
TT_9_cam2,9,0,rearing,8839,8883,heittor
TT_9_cam2,9,0,rearing,8892,8949,heittor
TT_9_cam2,9,0,rearing,8949,8968,heittor
TT_24_cam3,24,0,object_interaction,206,292,heittor
TT_24_cam3,24,0,object_interaction,485,801,heittor
TT_24_cam3,24,0,object_interaction,873,905,heittor
