clip_id,session_id,start_frame,end_frame,triage_label
TT_26_cam2_7251,TT_26_cam2,7251,7340,low_activity
TR_25_cam1_6328,TR_25_cam1,6328,6417,walking
TR_19_cam1_1402,TR_19_cam1,1402,1491,low_activity
TR_19_cam1_8753,TR_19_cam1,8753,8842,freezing
TR_21_cam3_341,TR_21_cam3,341,430,low_activity
TR_34_cam3_4836,TR_34_cam3,4836,4925,freezing
TR_34_cam3_4393,TR_34_cam3,4393,4482,low_activity
TT_20_cam2_8441,TT_20_cam2,8441,8530,walking
TT_19_cam1_6314,TT_19_cam1,6314,6403,freezing
TT_13_cam3_7811,TT_13_cam3,7811,7900,low_activity
TT_26_cam2_1611,TT_26_cam2,1611,1700,freezing
TT_12_cam2_5200,TT_12_cam2,5200,5289,walking
TR_19_cam1_5392,TR_19_cam1,5392,5481,walking
TT_31_cam3_8487,TT_31_cam3,8487,8576,low_activity
TT_28_cam1_6319,TT_28_cam1,6319,6408,low_activity
TR_24_cam3_3245,TR_24_cam3,3245,3334,walking
TT_24_cam3_2499,TT_24_cam3,2499,2588,freezing
TT_9_cam2_6624,TT_9_cam2,6624,6713,low_activity
TT_20_cam2_8561,TT_20_cam2,8561,8650,walking
TR_20_cam2_6944,TR_20_cam2,6944,7033,walking
TT_21_cam3_60,TT_21_cam3,60,149,walking
TT_27_cam3_8206,TT_27_cam3,8206,8295,low_activity
TT_33_cam2_5863,TT_33_cam2,5863,5952,low_activity
TT_9_cam2_3549,TT_9_cam2,3549,3638,walking
TT_19_cam1_7777,TT_19_cam1,7777,7866,freezing
TT_26_cam2_6170,TT_26_cam2,6170,6259,freezing
TT_15_cam1_5634,TT_15_cam1,5634,5723,low_activity
TT_22_cam1_3591,TT_22_cam1,3591,3680,low_activity
TR_26_cam2_3994,TR_26_cam2,3994,4083,low_activity
TT_26_cam2_1464,TT_26_cam2,1464,1553,freezing
TT_11_cam1_835,TT_11_cam1,835,924,low_activity
TT_10_cam3_7738,TT_10_cam3,7738,7827,low_activity
TR_26_cam2_1643,TR_26_cam2,1643,1732,low_activity
TT_19_cam1_5085,TT_19_cam1,5085,5174,freezing
TR_20_cam2_2566,TR_20_cam2,2566,2655,walking
TT_27_cam3_5123,TT_27_cam3,5123,5212,low_activity
TT_27_cam3_4475,TT_27_cam3,4475,4564,walking
TR_34_cam3_6524,TR_34_cam3,6524,6613,low_activity
TR_33_cam2_3761,TR_33_cam2,3761,3850,low_activity
TR_33_cam2_2564,TR_33_cam2,2564,2653,walking
TT_24_cam3_3270,TT_24_cam3,3270,3359,low_activity
TR_32_cam1_4329,TR_32_cam1,4329,4418,walking
TR_20_cam2_6831,TR_20_cam2,6831,6920,walking
TR_26_cam2_8804,TR_26_cam2,8804,8893,low_activity
TT_19_cam1_8373,TT_19_cam1,8373,8462,freezing
TR_26_cam2_7053,TR_26_cam2,7053,7142,low_activity
TR_22_cam1_1904,TR_22_cam1,1904,1993,walking
TT_26_cam2_6827,TT_26_cam2,6827,6916,low_activity
TT_28_cam1_8568,TT_28_cam1,8568,8657,low_activity
TT_1_cam1_1668,TT_1_cam1,1668,1757,low_activity
TR_22_cam1_2684,TR_22_cam1,2684,2773,low_activity
TT_27_cam3_2669,TT_27_cam3,2669,2758,low_activity
TT_33_cam2_4268,TT_33_cam2,4268,4357,low_activity
TT_11_cam1_1084,TT_11_cam1,1084,1173,low_activity
TR_20_cam2_523,TR_20_cam2,523,612,low_activity
TT_19_cam1_1017,TT_19_cam1,1017,1106,freezing
TR_25_cam1_9003,TR_25_cam1,9003,9092,walking
TT_33_cam2_1825,TT_33_cam2,1825,1914,low_activity
TR_32_cam1_6179,TR_32_cam1,6179,6268,walking
TT_28_cam1_6903,TT_28_cam1,6903,6992,low_activity
TT_29_cam2_4965,TT_29_cam2,4965,5054,walking
TT_24_cam3_2158,TT_24_cam3,2158,2247,freezing
TT_26_cam2_8602,TT_26_cam2,8602,8691,freezing
TT_26_cam2_8482,TT_26_cam2,8482,8571,freezing
TR_23_cam2_645,TR_23_cam2,645,734,walking
TT_32_cam1_4617,TT_32_cam1,4617,4706,low_activity
