clip_id,session_id,start_frame,end_frame,triage_label
TT_28_cam1_5870,TT_28_cam1,5870,5929,review
TT_25_cam1_8283,TT_25_cam1,8283,8342,review
TT_31_cam3_8665,TT_31_cam3,8665,8724,freezing
TT_21_cam3_7299,TT_21_cam3,7299,7358,review
TT_26_cam2_708,TT_26_cam2,708,767,low_activity
TT_24_cam3_1533,TT_24_cam3,1533,1592,freezing
TT_32_cam1_2026,TT_32_cam1,2026,2085,object_interaction
TT_20_cam2_4256,TT_20_cam2,4256,4315,low_activity
TT_27_cam3_2044,TT_27_cam3,2044,2103,walking
TR_26_cam2_6143,TR_26_cam2,6143,6202,object_interaction
TT_32_cam1_5256,TT_32_cam1,5256,5315,low_activity
TT_15_cam1_3535,TT_15_cam1,3535,3594,walking
TR_26_cam2_4324,TR_26_cam2,4324,4383,object_interaction
TT_27_cam3_2183,TT_27_cam3,2183,2242,walking
TT_22_cam1_2004,TT_22_cam1,2004,2063,review
TT_27_cam3_7336,TT_27_cam3,7336,7395,freezing
TT_10_cam3_2925,TT_10_cam3,2925,2984,low_activity
TR_33_cam2_8163,TR_33_cam2,8163,8222,review
TT_10_cam3_6568,TT_10_cam3,6568,6627,object_interaction
TR_32_cam1_1349,TR_32_cam1,1349,1408,low_activity
TT_10_cam3_5958,TT_10_cam3,5958,6017,freezing
TT_27_cam3_408,TT_27_cam3,408,467,walking
TT_1_cam1_4131,TT_1_cam1,4131,4190,review
TR_22_cam1_1634,TR_22_cam1,1634,1693,walking
TT_15_cam1_8101,TT_15_cam1,8101,8160,walking
TR_19_cam1_4680,TR_19_cam1,4680,4739,object_interaction
TR_32_cam1_1689,TR_32_cam1,1689,1748,object_interaction
TT_10_cam3_6423,TT_10_cam3,6423,6482,low_activity
TR_21_cam3_1123,TR_21_cam3,1123,1182,walking
TT_26_cam2_301,TT_26_cam2,301,360,low_activity
TT_31_cam3_3098,TT_31_cam3,3098,3157,object_interaction
TT_24_cam3_589,TT_24_cam3,589,648,low_activity
TR_33_cam2_222,TR_33_cam2,222,281,object_interaction
TR_22_cam1_5174,TR_22_cam1,5174,5233,object_interaction
TT_10_cam3_3947,TT_10_cam3,3947,4006,object_interaction
TT_26_cam2_6540,TT_26_cam2,6540,6599,freezing
TT_25_cam1_7576,TT_25_cam1,7576,7635,low_activity
TR_34_cam3_1175,TR_34_cam3,1175,1234,review
TT_11_cam1_5742,TT_11_cam1,5742,5801,review
TT_9_cam2_5687,TT_9_cam2,5687,5746,low_activity
TR_19_cam1_3040,TR_19_cam1,3040,3099,walking
TT_25_cam1_8392,TT_25_cam1,8392,8451,freezing
TT_28_cam1_8212,TT_28_cam1,8212,8271,low_activity
TT_13_cam3_2988,TT_13_cam3,2988,3047,low_activity
TR_21_cam3_2760,TR_21_cam3,2760,2819,object_interaction
TT_29_cam2_4364,TT_29_cam2,4364,4423,low_activity
TT_21_cam3_4317,TT_21_cam3,4317,4376,low_activity
TT_15_cam1_7242,TT_15_cam1,7242,7301,review
TT_11_cam1_8655,TT_11_cam1,8655,8714,object_interaction
TR_19_cam1_424,TR_19_cam1,424,483,object_interaction
TR_23_cam2_6906,TR_23_cam2,6906,6965,walking
TR_33_cam2_5169,TR_33_cam2,5169,5228,review
TR_26_cam2_8530,TR_26_cam2,8530,8589,object_interaction
TT_31_cam3_2028,TT_31_cam3,2028,2087,freezing
TT_11_cam1_6671,TT_11_cam1,6671,6730,review
TT_13_cam3_2877,TT_13_cam3,2877,2936,review
TT_21_cam3_7940,TT_21_cam3,7940,7999,walking
TR_27_cam3_3903,TR_27_cam3,3903,3962,low_activity
TR_22_cam1_3582,TR_22_cam1,3582,3641,object_interaction
TT_31_cam3_246,TT_31_cam3,246,305,review
TR_34_cam3_5151,TR_34_cam3,5151,5210,freezing
TT_21_cam3_8829,TT_21_cam3,8829,8888,walking
TR_33_cam2_2286,TR_33_cam2,2286,2345,low_activity
TT_32_cam1_7084,TT_32_cam1,7084,7143,walking
TT_24_cam3_8793,TT_24_cam3,8793,8852,freezing
TT_22_cam1_3042,TT_22_cam1,3042,3101,object_interaction
TT_19_cam1_8949,TT_19_cam1,8949,9008,freezing
TT_6_cam2_1429,TT_6_cam2,1429,1488,object_interaction
TT_19_cam1_1446,TT_19_cam1,1446,1505,low_activity
TR_34_cam3_3052,TR_34_cam3,3052,3111,low_activity
TT_32_cam1_2738,TT_32_cam1,2738,2797,walking
TR_19_cam1_4949,TR_19_cam1,4949,5008,object_interaction
TT_1_cam1_7266,TT_1_cam1,7266,7325,freezing
TR_25_cam1_7082,TR_25_cam1,7082,7141,review
TT_21_cam3_1439,TT_21_cam3,1439,1498,object_interaction
TT_11_cam1_5520,TT_11_cam1,5520,5579,low_activity
TT_22_cam1_5375,TT_22_cam1,5375,5434,walking
TR_34_cam3_7170,TR_34_cam3,7170,7229,freezing
TR_22_cam1_2527,TR_22_cam1,2527,2586,object_interaction
TT_11_cam1_4691,TT_11_cam1,4691,4750,review
TT_33_cam2_8160,TT_33_cam2,8160,8219,low_activity
TT_24_cam3_3679,TT_24_cam3,3679,3738,freezing
TT_15_cam1_318,TT_15_cam1,318,377,review
TT_19_cam1_5448,TT_19_cam1,5448,5507,freezing
TT_22_cam1_5776,TT_22_cam1,5776,5835,review
TT_29_cam2_7889,TT_29_cam2,7889,7948,low_activity
TT_27_cam3_6328,TT_27_cam3,6328,6387,freezing
TR_34_cam3_6144,TR_34_cam3,6144,6203,freezing
TT_21_cam3_8613,TT_21_cam3,8613,8672,walking
TR_24_cam3_5091,TR_24_cam3,5091,5150,review
TT_24_cam3_6075,TT_24_cam3,6075,6134,freezing
TT_28_cam1_687,TT_28_cam1,687,746,walking
TR_23_cam2_7851,TR_23_cam2,7851,7910,review
TR_33_cam2_1448,TR_33_cam2,1448,1507,walking
TT_12_cam2_2287,TT_12_cam2,2287,2346,object_interaction
TT_19_cam1_6692,TT_19_cam1,6692,6751,freezing
TT_20_cam2_235,TT_20_cam2,235,294,object_interaction
TT_26_cam2_2412,TT_26_cam2,2412,2471,freezing
TT_24_cam3_5325,TT_24_cam3,5325,5384,freezing
TT_29_cam2_6817,TT_29_cam2,6817,6876,low_activity
