clip_id,session_id,start_frame,end_frame,triage_label
TT_13_cam3_2750,TT_13_cam3,2750,2839,low_activity
TT_15_cam1_134,TT_15_cam1,134,223,walking
TT_20_cam2_4594,TT_20_cam2,4594,4683,object_interaction
TR_34_cam3_1505,TR_34_cam3,1505,1594,walking
TT_26_cam2_580,TT_26_cam2,580,669,freezing
TR_19_cam1_4261,TR_19_cam1,4261,4350,object_interaction
TR_22_cam1_6028,TR_22_cam1,6028,6117,freezing
TR_34_cam3_5953,TR_34_cam3,5953,6042,freezing
TT_6_cam2_6255,TT_6_cam2,6255,6344,low_activity
TT_6_cam2_6260,TT_6_cam2,6260,6349,object_interaction
TT_22_cam1_7218,TT_22_cam1,7218,7307,object_interaction
TR_19_cam1_8043,TR_19_cam1,8043,8132,low_activity
TT_32_cam1_2351,TT_32_cam1,2351,2440,object_interaction
TT_33_cam2_432,TT_33_cam2,432,521,review
TR_25_cam1_7560,TR_25_cam1,7560,7649,freezing
TT_27_cam3_4786,TT_27_cam3,4786,4875,walking
TT_1_cam1_6033,TT_1_cam1,6033,6122,freezing
TT_13_cam3_6897,TT_13_cam3,6897,6986,review
TT_26_cam2_1885,TT_26_cam2,1885,1974,freezing
TT_31_cam3_956,TT_31_cam3,956,1045,walking
TR_19_cam1_4756,TR_19_cam1,4756,4845,freezing
TT_10_cam3_4838,TT_10_cam3,4838,4927,review
TR_22_cam1_6003,TR_22_cam1,6003,6092,freezing
TR_20_cam2_2897,TR_20_cam2,2897,2986,low_activity
TT_33_cam2_412,TT_33_cam2,412,501,review
TT_29_cam2_1775,TT_29_cam2,1775,1864,object_interaction
TR_22_cam1_3397,TR_22_cam1,3397,3486,low_activity
TR_25_cam1_7804,TR_25_cam1,7804,7893,freezing
TR_25_cam1_5145,TR_25_cam1,5145,5234,walking
TT_10_cam3_4843,TT_10_cam3,4843,4932,review
TR_25_cam1_7822,TR_25_cam1,7822,7911,object_interaction
TT_19_cam1_8765,TT_19_cam1,8765,8854,freezing
TT_15_cam1_114,TT_15_cam1,114,203,walking
TT_9_cam2_8429,TT_9_cam2,8429,8518,object_interaction
TT_9_cam2_147,TT_9_cam2,147,236,walking
TT_13_cam3_6904,TT_13_cam3,6904,6993,review
TT_13_cam3_6884,TT_13_cam3,6884,6973,review
TT_33_cam2_445,TT_33_cam2,445,534,review
TR_24_cam3_5834,TR_24_cam3,5834,5923,walking
TR_23_cam2_2841,TR_23_cam2,2841,2930,walking
TT_21_cam3_7802,TT_21_cam3,7802,7891,freezing
TR_22_cam1_1417,TR_22_cam1,1417,1506,object_interaction
TR_34_cam3_2753,TR_34_cam3,2753,2842,low_activity
TT_6_cam2_6189,TT_6_cam2,6189,6278,object_interaction
TT_26_cam2_503,TT_26_cam2,503,592,freezing
TR_22_cam1_4574,TR_22_cam1,4574,4663,low_activity
TT_20_cam2_3952,TT_20_cam2,3952,4041,low_activity
TT_22_cam1_7271,TT_22_cam1,7271,7360,low_activity
TR_19_cam1_4285,TR_19_cam1,4285,4374,object_interaction
TR_20_cam2_635,TR_20_cam2,635,724,walking
TT_1_cam1_1882,TT_1_cam1,1882,1971,low_activity
TT_32_cam1_2819,TT_32_cam1,2819,2908,low_activity
TR_32_cam1_3459,TR_32_cam1,3459,3548,low_activity
TT_13_cam3_6893,TT_13_cam3,6893,6982,review
TT_25_cam1_5239,TT_25_cam1,5239,5328,low_activity
TT_33_cam2_1314,TT_33_cam2,1314,1403,walking
TR_27_cam3_626,TR_27_cam3,626,715,walking
TR_19_cam1_5999,TR_19_cam1,5999,6088,low_activity
TR_20_cam2_7316,TR_20_cam2,7316,7405,object_interaction
TT_33_cam2_3046,TT_33_cam2,3046,3135,walking
TT_19_cam1_4335,TT_19_cam1,4335,4424,freezing
TR_22_cam1_742,TR_22_cam1,742,831,walking
TR_25_cam1_7845,TR_25_cam1,7845,7934,freezing
TT_10_cam3_4835,TT_10_cam3,4835,4924,review
TT_10_cam3_4840,TT_10_cam3,4840,4929,review
TT_26_cam2_8357,TT_26_cam2,8357,8446,freezing
TT_21_cam3_640,TT_21_cam3,640,729,walking
TT_22_cam1_7204,TT_22_cam1,7204,7293,object_interaction
TR_22_cam1_6002,TR_22_cam1,6002,6091,freezing
TT_13_cam3_6885,TT_13_cam3,6885,6974,review
TT_29_cam2_5831,TT_29_cam2,5831,5920,object_interaction
TT_20_cam2_8917,TT_20_cam2,8917,9006,low_activity
TT_33_cam2_435,TT_33_cam2,435,524,review
TR_22_cam1_3847,TR_22_cam1,3847,3936,walking
TT_22_cam1_1433,TT_22_cam1,1433,1522,low_activity
TT_29_cam2_7642,TT_29_cam2,7642,7731,object_interaction
TT_13_cam3_6886,TT_13_cam3,6886,6975,review
TT_1_cam1_4856,TT_1_cam1,4856,4945,walking
TR_32_cam1_7931,TR_32_cam1,7931,8020,object_interaction
TT_31_cam3_2391,TT_31_cam3,2391,2480,low_activity
TT_10_cam3_4848,TT_10_cam3,4848,4937,review
TR_25_cam1_7497,TR_25_cam1,7497,7586,freezing
TT_19_cam1_1899,TT_19_cam1,1899,1988,low_activity
TT_19_cam1_3402,TT_19_cam1,3402,3491,freezing
